timestamp,open,high,low,close,volume
2020-01-01,100.0,100.5485,99.4515,100.0,1400387
2020-01-02,99.9763,100.2813,97.709,98.014,3265034
2020-01-03,97.7281,99.8881,97.1598,99.3198,1255029
2020-01-06,99.1552,101.8,98.7054,101.3503,1475054
2020-01-07,101.6073,102.1234,97.1169,97.6331,4807701
2020-01-08,97.6343,99.3179,93.078,94.7616,2985492
2020-01-09,94.8906,94.9235,94.7207,94.7536,361259
2020-01-10,95.0076,97.0673,92.1222,94.1819,705356
2020-01-13,94.0407,94.4399,93.7225,94.1217,2186025
2020-01-14,94.4064,94.7136,92.231,92.5381,2251064
2020-01-15,92.6784,95.102,91.6142,94.0378,1236616
2020-01-16,93.5733,97.5593,91.6952,95.6812,1720773
2020-01-17,96.2332,97.0178,95.2189,96.0035,1176170
2020-01-20,95.8112,98.5006,95.5396,98.229,3119116
2020-01-21,97.5787,99.5132,97.4701,99.4046,810488
2020-01-22,98.9891,99.5176,97.3166,97.8451,1171911
2020-01-23,97.4455,98.5186,97.3694,98.4425,1496179
2020-01-24,98.4631,100.3041,94.8032,96.6443,1820187
2020-01-27,96.5384,98.5354,96.1977,98.1947,2398611
2020-01-28,98.0624,99.554,96.792,98.2836,565263
2020-01-29,98.5272,100.1304,96.3554,97.9586,1393155
2020-01-30,98.0918,98.921,95.7923,96.6216,2903887
2020-01-31,96.7437,100.1896,95.4352,98.8811,2767131
2020-02-03,99.0432,99.868,98.0117,98.8364,1096258
2020-02-04,99.08,99.4967,97.5983,98.0149,1349322
2020-02-05,97.1885,98.498,95.9631,97.2726,908199
2020-02-06,97.1308,99.4111,95.9833,98.2637,1456066
2020-02-07,97.4067,99.263,97.2553,99.1115,2687193
2020-02-10,99.1258,101.4638,97.7069,100.0449,1385887
2020-02-11,100.043,101.4855,99.5886,101.0311,956785
2020-02-12,101.4536,108.3181,98.624,105.4885,2506482
2020-02-13,105.9896,107.9334,103.1843,105.1281,1294506
2020-02-14,105.2134,105.9649,103.2951,104.0467,1256352
2020-02-17,103.8384,104.796,101.3199,102.2775,2358315
2020-02-18,102.476,103.5407,102.3295,103.3943,2007852
2020-02-19,103.1759,106.5867,102.462,105.8728,3429100
2020-02-20,105.8722,106.5363,105.2529,105.917,2080219
2020-02-21,106.3348,106.8142,103.6941,104.1735,2999507
2020-02-24,103.9411,104.5693,101.6873,102.3155,1185782
2020-02-25,102.6452,107.7861,98.3541,103.495,1003390
2020-02-26,103.7754,105.3421,103.6171,105.1838,1748384
2020-02-27,104.7821,106.6256,104.6861,106.5296,1308592
2020-02-28,106.9446,107.5767,104.6479,105.28,897975
2020-03-02,105.5742,106.1004,105.1507,105.6769,952993
2020-03-03,105.72,107.0942,104.6208,105.9951,907529
2020-03-04,105.6719,106.8215,105.3727,106.5224,892447
2020-03-05,106.1563,110.5655,104.0546,108.4639,1632136
2020-03-06,108.2306,110.9721,106.4376,109.1791,2396951
2020-03-09,109.4161,110.9964,109.186,110.7663,1907775
2020-03-10,110.3429,111.26,110.1932,111.1103,3975842
2020-03-11,111.3048,113.0868,110.0385,111.8206,1437085
2020-03-12,111.2652,113.3758,111.2269,113.3375,1451676
2020-03-13,113.245,113.5826,109.8846,110.2222,2379240
2020-03-16,110.2706,112.4653,107.0529,109.2476,1639430
2020-03-17,110.3161,110.464,108.0081,108.1561,1864166
2020-03-18,107.5602,108.4793,105.7794,106.6985,4727864
2020-03-19,107.3267,107.9874,105.3388,105.9995,869929
2020-03-20,106.0631,112.7604,102.4339,109.1312,3806259
2020-03-23,109.3106,109.8015,107.1056,107.5965,1889538
2020-03-24,107.6475,111.4191,105.7896,109.5612,872062
2020-03-25,109.7561,112.2594,103.6032,106.1066,3787889
2020-03-26,106.0413,106.213,104.9214,105.0931,2784843
2020-03-27,105.7044,106.3889,104.6818,105.3664,736112
2020-03-30,105.174,107.4551,104.3796,106.6608,1607027
2020-03-31,107.1438,109.0365,106.4483,108.341,754441
2020-04-01,108.0617,112.1881,106.1368,110.2632,1005659
2020-04-02,110.2366,110.2925,109.6669,109.7229,2102571
2020-04-03,109.2524,109.5453,108.3945,108.6874,1165690
2020-04-06,108.8852,110.716,108.6517,110.4825,1048761
2020-04-07,111.1211,111.2181,110.1784,110.2754,1226689
2020-04-08,110.2412,110.5198,107.1957,107.4742,1748222
2020-04-09,107.3896,107.7885,104.3986,104.7975,1774333
2020-04-10,104.3303,104.7326,102.2385,102.6408,2936435
2020-04-13,102.5467,103.5132,102.5144,103.4809,788359
2020-04-14,102.8217,104.6475,102.0656,103.8915,762054
2020-04-15,103.5121,105.5808,103.3298,105.3986,1863492
2020-04-16,105.4942,106.0477,104.1289,104.6824,2175297
2020-04-17,105.2347,105.9203,104.2891,104.9746,2116425
2020-04-20,106.1542,107.3106,105.1925,106.3489,1186485
2020-04-21,106.0993,106.6041,105.3572,105.862,1963642
2020-04-22,106.4698,106.9045,106.3777,106.8124,978948
2020-04-23,106.9166,106.9291,105.5138,105.5263,3992352
2020-04-24,105.4625,105.9845,104.1426,104.6647,798889
2020-04-27,104.8458,106.4925,102.1647,103.8115,2734913
2020-04-28,103.8372,107.3817,97.7308,101.2752,1599964
2020-04-29,101.3199,103.3838,99.9806,102.0445,3775644
2020-04-30,101.8778,102.3261,100.7464,101.1946,1903688
2020-05-01,100.6287,103.8722,97.9225,101.166,610204
2020-05-04,100.5414,104.6156,98.092,102.1662,1150917
2020-05-05,102.4332,104.7099,100.9336,103.2103,2232983
2020-05-06,103.096,107.3037,100.5126,104.7202,2930870
2020-05-07,104.4705,106.1374,103.0316,104.6985,975237
